1.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.750000, 0.250000, 0.250000, -0.250000, 0.250000
0.500000, 0.500000, 0.500000, -0.500000, 0.500000
0.250000, 0.750000, 0.750000, -0.750000, 0.750000
1.000000, 0.000000, 0.000000, 0.005107, 0.005107
0.750000, 0.249750, 0.250250, -0.252475, 0.247525
0.500000, 0.499500, 0.500500, -0.504243, 0.495757
0.250000, 0.749250, 0.750750, -0.754518, 0.745482
1.000000, 0.000005, 0.000005, 0.010209, 0.010219
0.750000, 0.249498, 0.250498, -0.254947, 0.245048
0.500000, 0.498996, 0.500996, -0.508481, 0.491510
0.250000, 0.748495, 0.751495, -0.759031, 0.740960
1.000000, 0.000229, 0.000230, 0.050871, 0.051331
0.750000, 0.247389, 0.252388, -0.274672, 0.225105
0.500000, 0.494810, 0.504809, -0.542247, 0.457371
0.250000, 0.742297, 0.757296, -0.794975, 0.704619
1.000000, 0.025546, 0.027399, 0.532186, 0.593972
0.750000, 0.211950, 0.260927, -0.537197, -0.074159
0.500000, 0.429330, 0.527893, -0.917684, 0.036886
0.250000, 0.653308, 0.801834, -1.181785, 0.272815
1.000000, -3.856680, 5.429754, -4.945541, 6.532327
0.750000, 6.306323, -5.618721, 7.736230, -7.208700
0.500000, -3.495357, 1.432478, -7.647272, 2.690250
0.250000, 3.498465, -2.727809, 9.368014, -7.383706
1.000000, -48.387244, 64.005775, -4.949235, 6.504230
0.750000, 76.091879, -69.763045, 7.782629, -7.105218
0.500000, -72.211784, 26.014731, -7.631171, 2.738730
0.250000, 87.196906, -71.263426, 9.211396, -7.678725
